iter	Passed	Remaining
437	1438	1846
438	1441	1841
439	1443	1837
440	1446	1832
441	1449	1829
442	1452	1826
443	1456	1823
444	1460	1821
445	1463	1818
446	1466	1814
447	1469	1810
448	1475	1810
449	1478	1806
450	1480	1802
451	1482	1797
452	1484	1793
453	1487	1788
454	1489	1784
455	1492	1780
456	1494	1776
457	1497	1772
458	1500	1768
459	1503	1764
460	1505	1759
461	1508	1756
462	1511	1753
463	1514	1749
464	1517	1745
465	1523	1745
466	1526	1741
467	1528	1737
468	1532	1735
469	1535	1731
470	1540	1730
471	1544	1727
472	1547	1724
473	1550	1721
474	1553	1716
475	1557	1714
476	1559	1710
477	1562	1706
478	1566	1704
479	1569	1700
480	1574	1699
481	1578	1696
482	1581	1692
483	1583	1687
484	1588	1686
485	1591	1683
486	1594	1679
487	1598	1676
488	1601	1673
489	1608	1673
490	1611	1670
491	1615	1668
492	1618	1664
493	1621	1660
494	1624	1657
495	1627	1653
496	1630	1649
497	1634	1647
498	1638	1644
499	1641	1641
500	1643	1637
501	1647	1634
502	1650	1630
503	1655	1628
504	1658	1625
505	1661	1622
506	1664	1618
507	1668	1615
508	1671	1612
509	1675	1610
510	1679	1607
511	1681	1602
512	1683	1598
513	1686	1594
514	1689	1591
515	1692	1587
516	1695	1583
517	1698	1580
518	1700	1576
519	1704	1573
520	1707	1569
521	1710	1565
522	1713	1562
523	1716	1559
524	1719	1556
525	1722	1552
526	1725	1548
527	1728	1544
528	1730	1540
529	1733	1537
530	1737	1534
531	1740	1530
532	1742	1526
533	1745	1523
534	1748	1519
535	1753	1517
536	1755	1513
537	1758	1510
538	1761	1506
539	1764	1503
540	1767	1499
541	1771	1497
542	1774	1493
543	1778	1490
544	1781	1487
545	1784	1484
546	1787	1480
547	1790	1476
548	1793	1473
549	1796	1469
550	1799	1466
551	1805	1465
552	1808	1461
553	1811	1458
554	1814	1454
555	1819	1453
556	1823	1449
557	1826	1446
558	1829	1443
559	1831	1439
560	1836	1437
561	1839	1433
562	1843	1430
563	1846	1427
564	1849	1423
565	1852	1420
566	1855	1416
567	1859	1414
568	1862	1411
569	1867	1408
570	1870	1405
571	1873	1401
572	1876	1398
573	1879	1394
574	1882	1391
575	1885	1387
576	1887	1383
577	1891	1380
578	1894	1377
579	1897	1373
580	1902	1371
581	1905	1368
582	1907	1364
583	1910	1360
584	1913	1357
585	1916	1354
586	1919	1350
587	1922	1346
588	1925	1343
589	1927	1339
590	1930	1336
591	1935	1333
592	1938	1330
593	1941	1327
594	1944	1323
595	1948	1320
596	1950	1316
597	1954	1313
598	1957	1310
599	1960	1306
600	1962	1303
601	1967	1300
602	1969	1296
603	1972	1293
604	1975	1289
605	1978	1286
606	1981	1282
607	1984	1279
608	1987	1275
609	1990	1272
610	1993	1269
611	1996	1265
612	1998	1261
613	2001	1258
614	2004	1254
615	2008	1252
616	2011	1248
617	2013	1244
618	2016	1241
619	2019	1237
620	2021	1233
621	2024	1230
622	2027	1227
623	2032	1224
624	2035	1221
625	2037	1217
626	2041	1214
627	2044	1210
628	2048	1208
629	2052	1205
630	2055	1201
631	2058	1198
632	2061	1195
633	2063	1191
634	2067	1188
635	2071	1185
636	2074	1182
637	2078	1179
638	2081	1176
639	2084	1172
640	2087	1169
641	2090	1165
642	2093	1162
643	2100	1161
644	2105	1158
645	2108	1155
646	2115	1154
647	2118	1150
648	2121	1147
649	2124	1143
650	2128	1141
651	2131	1137
652	2136	1135
653	2139	1132
654	2144	1129
655	2147	1126
656	2150	1122
657	2153	1119
658	2156	1115
659	2160	1112
660	2164	1109
661	2167	1106
662	2169	1102
663	2172	1099
664	2176	1096
665	2180	1093
666	2183	1090
667	2186	1086
668	2190	1083
669	2195	1081
670	2198	1078
671	2201	1074
672	2204	1071
673	2207	1067
674	2211	1064
675	2216	1062
676	2219	1058
677	2221	1055
678	2225	1052
679	2228	1048
680	2231	1045
681	2234	1042
682	2237	1038
683	2241	1035
684	2244	1032
685	2248	1029
686	2251	1025
687	2254	1022
688	2257	1018
689	2260	1015
690	2263	1012
691	2267	1009
692	2270	1005
693	2277	1004
694	2280	1000
695	2283	997
696	2286	993
697	2291	991
698	2294	988
699	2298	985
700	2301	981
701	2305	978
702	2308	975
703	2313	972
704	2316	969
705	2319	965
706	2321	962
707	2324	958
708	2327	955
709	2332	952
710	2336	949
711	2339	946
712	2342	943
713	2345	939
714	2349	936
715	2352	932
716	2355	929
717	2358	926
718	2361	923
719	2364	919
720	2367	916
721	2372	913
722	2376	910
723	2379	907
724	2382	903
725	2385	900
726	2388	896
727	2390	893
728	2394	890
729	2397	886
730	2400	883
731	2403	880
732	2409	877
733	2412	874
734	2416	871
735	2419	867
736	2424	865
737	2426	861
738	2431	858
739	2433	855
740	2440	853
741	2444	849
742	2448	847
743	2451	843
744	2459	841
745	2462	838
746	2466	835
747	2468	831
748	2473	829
749	2477	825
750	2480	822
751	2483	818
752	2486	815
753	2489	812
754	2492	808
755	2494	805
756	2497	801
757	2500	798
758	2504	795
759	2508	792
760	2511	788
761	2514	785
762	2517	781
763	2520	778
764	2523	775
765	2526	771
766	2529	768
767	2532	765
768	2535	761
769	2538	758
770	2541	754
771	2545	751
772	2547	748
773	2550	744
774	2554	741
775	2557	738
776	2559	734
777	2563	731
778	2565	727
779	2569	724
780	2573	721
781	2576	718
782	2579	714
783	2582	711
